dataset,repeat,n_calibration_identifiers,n_evaluation_identifiers,calibration_prevalence,evaluation_prevalence,intercept_shift,brier_null_calibration_prevalence,brier_model_uncalibrated,brier_skill_uncalibrated,brier_model_intercept_recalibrated,brier_skill_intercept_recalibrated
mimic_temporal_test,1,1530,6123,0.007943343860656522,0.008227202422088393,-1.2199890349336293,0.008159596138077272,0.009597186275009018,-0.17618398173202965,0.008114246518350458,0.005557826509964947
mimic_temporal_test,2,1530,6123,0.008637422360248448,0.008050302091275014,-1.153031753446905,0.007985839437724466,0.009399904050380737,-0.17707150559230422,0.007966111148281729,0.0024704089778643246
mimic_temporal_test,3,1530,6123,0.008311446524153063,0.008134119332985931,-1.1302274409654929,0.008067986880595403,0.009540131892517225,-0.18246745237805606,0.00805398354021333,0.0017356672227309966
mimic_temporal_test,4,1530,6123,0.00809259736909982,0.008188449199616013,-1.114330269545646,0.008121407686894734,0.009770482156100473,-0.20305278749480826,0.008189750381230699,-0.008415129121795761
mimic_temporal_test,5,1530,6123,0.008206565252201762,0.008159845101245535,-1.1870969986506275,0.008093264211941724,0.009544867713369496,-0.17935946033813033,0.008057994790818401,0.004357873436441451
mimic_temporal_test,6,1530,6123,0.00822732529324302,0.008154611432765229,-1.101484276186371,0.008088119032451345,0.009719222734009299,-0.20166662916477862,0.008163139254485762,-0.00927536077713742
mimic_temporal_test,7,1530,6123,0.008452175048134974,0.008098027026142722,-1.102528250245208,0.008032574405248065,0.009524493419396709,-0.18573360654759719,0.008053694437311314,-0.002629298030460969
mimic_temporal_test,8,1530,6123,0.007722636775391834,0.008281099127702404,-1.2357430017874171,0.008212834405138517,0.00959961969168426,-0.16885586852671408,0.008126693286735542,0.010488597986229808
mimic_temporal_test,9,1530,6123,0.008255968169761273,0.008147635148898033,-1.2124793669684282,0.00808126292642188,0.009450047593402228,-0.16937756875909504,0.008029881166732391,0.006358134880316335
mimic_temporal_test,10,1530,6123,0.008853975967779516,0.008001497737114577,-1.0826987043396499,0.007938200490211282,0.009442754455449332,-0.18953337939667048,0.007954079016407057,-0.0020002677200399166
