dataset,repeat,calibration_method,fitted_intercept,fitted_slope,calibration_prevalence,brier,brier_skill
mimic_temporal_test,1,uncalibrated,0.0,1.0,0.007943343860656522,0.009597186275009018,-0.17618398173202965
mimic_temporal_test,1,intercept_only,-1.2199890349336293,1.0,0.007943343860656522,0.008114246518350458,0.005557826509964947
mimic_temporal_test,1,intercept_and_slope,-2.1491669069446417,0.6832093055090006,0.007943343860656522,0.00800013071732627,0.01954329822855394
mimic_temporal_test,2,uncalibrated,0.0,1.0,0.008637422360248448,0.009399904050380737,-0.17707150559230422
mimic_temporal_test,2,intercept_only,-1.153031753446905,1.0,0.008637422360248448,0.007966111148281729,0.0024704089778643246
mimic_temporal_test,2,intercept_and_slope,-2.3799978686579477,0.592443639962831,0.008637422360248448,0.007836864595015331,0.018654875779919866
mimic_temporal_test,3,uncalibrated,0.0,1.0,0.008311446524153063,0.009540131892517225,-0.18246745237805606
mimic_temporal_test,3,intercept_only,-1.1302274409654929,1.0,0.008311446524153063,0.00805398354021333,0.0017356672227309966
mimic_temporal_test,3,intercept_and_slope,-2.1441006964140006,0.6644750825735051,0.008311446524153063,0.007903305891746062,0.02041165798687916
mimic_temporal_test,4,uncalibrated,0.0,1.0,0.00809259736909982,0.009770482156100473,-0.20305278749480826
mimic_temporal_test,4,intercept_only,-1.114330269545646,1.0,0.00809259736909982,0.008189750381230699,-0.008415129121795761
mimic_temporal_test,4,intercept_and_slope,-1.558748663206244,0.8509791429059675,0.00809259736909982,0.008039473917965482,0.010088616664506
mimic_temporal_test,5,uncalibrated,0.0,1.0,0.008206565252201762,0.009544867713369496,-0.17935946033813033
mimic_temporal_test,5,intercept_only,-1.1870969986506275,1.0,0.008206565252201762,0.008057994790818401,0.004357873436441451
mimic_temporal_test,5,intercept_and_slope,-2.0807541245759733,0.6952230169100106,0.008206565252201762,0.007926747199854554,0.020574765351348723
mimic_temporal_test,6,uncalibrated,0.0,1.0,0.00822732529324302,0.009719222734009299,-0.20166662916477862
mimic_temporal_test,6,intercept_only,-1.101484276186371,1.0,0.00822732529324302,0.008163139254485762,-0.00927536077713742
mimic_temporal_test,6,intercept_and_slope,-1.61053663378142,0.8278806615508317,0.00822732529324302,0.007994947859665369,0.011519510582392867
mimic_temporal_test,7,uncalibrated,0.0,1.0,0.008452175048134974,0.009524493419396709,-0.18573360654759719
mimic_temporal_test,7,intercept_only,-1.102528250245208,1.0,0.008452175048134974,0.008053694437311314,-0.002629298030460969
mimic_temporal_test,7,intercept_and_slope,-2.0715907317835933,0.6779199794462423,0.008452175048134974,0.007879870420387599,0.019010590771583402
mimic_temporal_test,8,uncalibrated,0.0,1.0,0.007722636775391834,0.00959961969168426,-0.16885586852671408
mimic_temporal_test,8,intercept_only,-1.2357430017874171,1.0,0.007722636775391834,0.008126693286735542,0.010488597986229808
mimic_temporal_test,8,intercept_and_slope,-2.2137125155786976,0.6693216247356105,0.007722636775391834,0.008039126655699402,0.021150767307621776
mimic_temporal_test,9,uncalibrated,0.0,1.0,0.008255968169761273,0.009450047593402228,-0.16937756875909504
