cohort,cohort_label,feature,n_rows,input_nonmissing_n,input_nonmissing_percent,python_range_rejected_n,accepted_nonmissing_n,missing_after_preprocessing_n,missing_after_preprocessing_percent,clean_range_violation_n,quantile_basis,quantile_sample_n,upstream_filtering,minimum,q01,q25,median,q75,q99,maximum
mimic_development,MIMIC-IV 2008-2016 development,age,769283,769283,100.0,0,769283,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38303,counts start at the harmonized model-input table; common Python ranges were rechecked,18.0,22.0,54.0,66.0,78.0,93.0,103.0
mimic_development,MIMIC-IV 2008-2016 development,sex_male,769283,769283,100.0,0,769283,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38303,counts start at the harmonized model-input table; common Python ranges were rechecked,0.0,0.0,0.0,1.0,1.0,1.0,1.0
mimic_development,MIMIC-IV 2008-2016 development,index_hour,769283,769283,100.0,0,769283,0,0.0,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38303,counts start at the harmonized model-input table; common Python ranges were rechecked,6.0,6.0,9.0,14.0,19.0,24.0,24.0
mimic_development,MIMIC-IV 2008-2016 development,hr_last,769283,765246,99.47522563217957,8,765238,4045,0.5258142972092195,8,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38119,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,49.0,71.0,83.0,96.0,132.0,223.0
mimic_development,MIMIC-IV 2008-2016 development,hr_mean6,769283,765246,99.47522563217957,0,765246,4037,0.524774367820425,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38119,counts start at the harmonized model-input table; common Python ranges were rechecked,25.2,50.38464256286621,72.14286041259766,83.0,96.0,129.1623843383789,182.28571428571428
mimic_development,MIMIC-IV 2008-2016 development,hr_min6,769283,765246,99.47522563217957,34,765212,4071,0.5291940677228016,34,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38119,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,44.0,66.0,76.0,88.0,121.0,172.0
mimic_development,MIMIC-IV 2008-2016 development,hr_max6,769283,765246,99.47522563217957,11,765235,4048,0.5262042707300174,11,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38118,counts start at the harmonized model-input table; common Python ranges were rechecked,28.0,55.0,79.0,91.0,105.0,146.0,248.0
mimic_development,MIMIC-IV 2008-2016 development,sbp_last,769283,764043,99.3188462503396,9,764034,5249,0.6823236702227918,9,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38068,counts start at the harmonized model-input table; common Python ranges were rechecked,30.0,80.0,105.0,119.0,134.0,177.0,270.0
mimic_development,MIMIC-IV 2008-2016 development,sbp_mean6,769283,764043,99.3188462503396,0,764043,5240,0.6811537496603981,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38068,counts start at the harmonized model-input table; common Python ranges were rechecked,44.625,85.33333587646484,106.83333587646484,119.0,132.8333282470703,170.4329959106447,238.83333333333331
mimic_development,MIMIC-IV 2008-2016 development,sbp_min6,769283,764043,99.3188462503396,88,763955,5328,0.6925929729371376,88,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38063,counts start at the harmonized model-input table; common Python ranges were rechecked,30.0,69.0,93.0,105.0,119.0,156.0,235.0
mimic_development,MIMIC-IV 2008-2016 development,sbp_max6,769283,764043,99.3188462503396,23,764020,5263,0.6841435466531822,23,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38067,counts start at the harmonized model-input table; common Python ranges were rechecked,50.0,93.0,119.0,134.0,149.0,195.3399999999965,293.0
mimic_development,MIMIC-IV 2008-2016 development,dbp_last,769283,763962,99.30831696527805,19,763943,5340,0.6941528670203293,19,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38063,counts start at the harmonized model-input table; common Python ranges were rechecked,10.0,35.0,54.0,63.0,73.0,107.0,200.0
mimic_development,MIMIC-IV 2008-2016 development,dbp_mean6,769283,763962,99.30831696527805,0,763962,5321,0.6916830347219424,0,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38064,counts start at the harmonized model-input table; common Python ranges were rechecked,12.5,39.31075622558594,55.66666793823242,63.400001525878906,72.33333587646484,98.26321388244638,152.33333333333334
mimic_development,MIMIC-IV 2008-2016 development,dbp_min6,769283,763962,99.30831696527805,46,763916,5367,0.6976626287075107,46,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38060,counts start at the harmonized model-input table; common Python ranges were rechecked,10.0,27.0,46.0,54.0,62.0,88.0,143.0
mimic_development,MIMIC-IV 2008-2016 development,dbp_max6,769283,763962,99.30831696527805,131,763831,5452,0.7087118784634523,131,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38055,counts start at the harmonized model-input table; common Python ranges were rechecked,13.0,45.0,65.0,75.0,87.0,131.0,200.0
mimic_development,MIMIC-IV 2008-2016 development,map_last,769283,764128,99.32989550009555,184,763944,5339,0.6940228758467301,184,exact accepted-value extrema; deterministic seeded 5% row sample for quantiles,38056,counts start at the harmonized model-input table; common Python ranges were rechecked,20.0,49.0,68.0,77.5,88.0,122.0,250.0
