dataset,analysis,n_landmarks,n_stays,n_event_stays,n_positive_landmarks,landmark_prevalence,bootstrap_replicates,auroc,auprc,brier,brier_null_evaluation_prevalence,brier_skill_evaluation_prevalence,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,brier_ci_low,brier_ci_high,calibration_in_the_large,calibration_in_the_large_ci_low,calibration_in_the_large_ci_high,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,endpoint_note
mimic_temporal_test,norepinephrine_first_hgb,152895,9258,236,984,0.006435789267144118,500,0.766920289174454,0.021335558467963443,0.0068633203660321005,0.006394369883653032,-0.07333802875212547,0.7383171427173705,0.7942687599660526,0.016858453244488567,0.029148620802691306,0.006099116061056972,0.007728838727672842,-0.5943820840825754,-0.7473671414363279,-0.44139702672882297,-2.0404651082463983,-2.365947250470799,-1.7149829660219975,0.611402375485914,0.540834038747093,0.681970712224735,norepinephrine included at first target-pressor timestamp; concurrent first agents retained
mimic_temporal_test,norepinephrine_only_hgb,152895,9258,231,974,0.006370384904673142,500,0.7660414144242023,0.019696341929148195,0.006732034465862554,0.006329803100839455,-0.06354563619360554,0.7359967872809343,0.7956814508468113,0.015179105953103754,0.02577902006949541,0.005863558288695269,0.007713094107774573,-0.5492886073344723,-0.7025743498651544,-0.39600286480379004,-2.020764956961975,-2.358043989878246,-1.6834859240457036,0.6123758712085782,0.5401734329460913,0.684578309471065,norepinephrine was the sole agent at the first target-pressor timestamp; concurrent first agents excluded from the positive class
mimic_temporal_test,availability_only_hgb,152895,9258,317,1249,0.008169004872625004,500,0.670604882676963,0.0379217942048041,0.008626422985375116,0.008102272232016032,-0.06469182204072288,0.6357310900183041,0.7016324585316568,0.02738315232621103,0.05128238374368084,0.007775175340911243,0.009693951892525074,-0.9879892842574609,-1.120747503676541,-0.8552310648383806,-1.9395761109432312,-2.2647402094088926,-1.6144120124775698,0.7252848195007355,0.636345541192708,0.814224097808763,any first target vasopressor; index hour plus 39 availability indicators
mimic_temporal_test,missingness_only_hgb,152895,9258,317,1249,0.008169004872625004,500,0.6266749521902317,0.031382879662260346,0.008595294714347586,0.008102272232016032,-0.06084990336209506,0.5948804545014087,0.6558827594278392,0.022151556629552926,0.043819394291643055,0.0077468945303790625,0.009496269081125509,-0.9907088661031236,-1.1229407809160505,-0.8584769512901966,-2.0096845695919465,-2.3541410241034613,-1.665228115080432,0.7104556213739444,0.6176227750551663,0.8032884676927224,any first target vasopressor; 39 availability indicators without physiologic values or index hour
eicu_external,norepinephrine_first_hgb,2417020,157765,4484,19186,0.007937873910848896,500,0.85783756383275,0.054909515503919405,0.007835840163724562,0.007874864068624362,0.004955502032763182,0.8523458660797923,0.8625659047204669,0.05154235490977052,0.05829666463911615,0.007578028565484934,0.008057495530878906,-0.24731273861872105,-0.28159759399843726,-0.21302788323900484,-0.5521229263226536,-0.6284745629960125,-0.4757712896492947,0.9158665948212944,0.8980026598255991,0.9337305298169897,norepinephrine included at first target-pressor timestamp; concurrent first agents retained
eicu_external,norepinephrine_only_hgb,2417020,157765,4063,17466,0.007226253816683354,500,0.8553857162235707,0.04703424099636066,0.0072001689594242335,0.007174035072460223,-0.0036428434904554052,0.8498690130690472,0.8608926222375446,0.0441391586624398,0.049845035166549145,0.006971023557596063,0.007409058501542518,-0.30807813269021367,-0.34391750494183615,-0.2722387604385912,-0.658083067695427,-0.7374744146525429,-0.5786917207383111,0.9044909415178101,0.8861387119532684,0.9228431710823517,norepinephrine was the sole agent at the first target-pressor timestamp; concurrent first agents excluded from the positive class
eicu_external,availability_only_hgb,2417020,157765,6297,26767,0.011074380849144815,500,0.6914311038134602,0.022693421288527534,0.011025937754033684,0.010951738937952912,-0.006775071657673992,0.6848078056558348,0.6981485676282894,0.021904220423106125,0.023661887793454642,0.010780366820923164,0.011303467999087092,-0.14155162536451446,-0.1695862795547021,-0.11351697117432683,-1.4125058658562124,-1.525163285390446,-1.2998484463219788,0.6879607226434692,0.6617162107109382,0.7142052345760002,any first target vasopressor; index hour plus 39 availability indicators
eicu_external,missingness_only_hgb,2417020,157765,6297,26767,0.011074380849144815,500,0.6569958216252538,0.018838606463741726,0.011051050026178675,0.010951738937952912,-0.009068065700653216,0.6499242733957811,0.6643290323453283,0.01811346731335313,0.019577684707734282,0.010737917234048247,0.011314734494519358,-0.20581962492481745,-0.23383261131125452,-0.17780663853838038,-1.740244314128066,-1.8716557667425497,-1.608832861513582,0.625372881433528,0.5950065910622551,0.6557391718048009,any first target vasopressor; 39 availability indicators without physiologic values or index hour
sicdb_external,norepinephrine_first_hgb,50054,3769,540,2384,0.04762856115395373,500,0.7006093697864091,0.1332964649526858,0.04493542063265155,0.04536008131635781,0.009361991235080636,0.6756866219554609,0.722800060318885,0.11134014886553885,0.1586882495697912,0.0410388850370684,0.048962539027225506,1.2998132975358807,1.1938174792763796,1.4058091157953818,-0.18523229607768713,-0.4913519020622288,0.1208873099068545,0.6200521156545572,0.5486453144074424,0.691458916901672,norepinephrine included at first target-pressor timestamp; concurrent first agents retained
sicdb_external,norepinephrine_only_hgb,50054,3769,539,2378,0.047508690614136734,500,0.7027255383637704,0.12712302067990225,0.04514673472191698,0.04525161493026698,0.0023177119426924797,0.6781667432013823,0.7252844029831312,0.1073620722888537,0.1500926791258875,0.041106323490019275,0.04882782848550275,1.4310672280756387,1.3222581418325325,1.5398763143187448,-0.13941841068104324,-0.4559091031625393,0.17707228180045279,0.6113039496121389,0.5404339825459299,0.6821739166783478,norepinephrine was the sole agent at the first target-pressor timestamp; concurrent first agents excluded from the positive class
